"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.819596105E1,-4.085350037E-2,5.542582273E-2,-9.447264671E-2
3.819846666E1,-4.451084137E-2,5.196028948E-2,-1.011116505E-1
3.820097251E1,-6.807899475E-2,2.987897396E-2,-1.120402813E-1
3.820347828E1,-7.577991486E-2,2.867633104E-2,-9.981513023E-2
3.820598412E1,-7.239532471E-2,3.059804440E-2,-1.008186340E-1
3.820848974E1,-7.621097565E-2,2.947336435E-2,-6.200098991E-2
3.821099552E1,-6.387233734E-2,7.567226887E-3,-8.323931694E-2
3.821350137E1,-8.148670197E-2,3.667950630E-3,-9.706473351E-2
3.821600698E1,-7.122039795E-2,3.643989563E-3,-9.108638763E-2
3.821851283E1,-7.686138153E-2,1.479876041E-2,-8.094215393E-2
3.822101860E1,-7.165145874E-2,2.832293510E-3,-5.934429169E-2
3.822352420E1,-6.528377533E-2,1.103490591E-2,-6.824207306E-2
3.822603004E1,-6.199359894E-2,-2.990186214E-3,-6.756782532E-2
3.822853581E1,-3.867816925E-2,1.230007410E-2,-5.938959122E-2
3.823104143E1,-1.602172852E-3,1.613199711E-3,-1.671934128E-2
3.823354728E1,1.557540894E-2,-5.572438240E-4,-3.062772751E-2
3.823605305E1,1.950454712E-2,2.531886101E-2,-2.346324921E-2
3.823855890E1,4.255390167E-2,1.733064651E-2,-2.593064308E-2
3.824106451E1,5.257320404E-2,2.804511786E-2,-1.890611649E-2
3.824357028E1,8.266162872E-2,3.205960989E-2,-3.745770454E-2
3.824607612E1,1.045436859E-1,3.673940897E-2,-4.748916626E-2
3.824858174E1,9.366226196E-2,3.763091564E-2,-5.690622330E-2
3.825108758E1,7.354736328E-2,6.439697742E-2,-5.762815475E-2
3.825359334E1,7.355499268E-2,4.003167152E-2,-4.554128647E-2
3.825609896E1,6.050300598E-2,4.100006819E-2,-3.819727898E-2
3.825860480E1,5.044364929E-2,4.260742664E-2,-2.915024757E-2
3.826111057E1,2.442932129E-2,4.519015551E-2,-2.221345901E-3
3.826361619E1,-2.630233765E-3,4.778510332E-2,1.089930534E-2
3.826612202E1,-2.679157257E-2,5.743849277E-2,5.664896965E-2
3.826862779E1,-3.300666809E-2,4.626262188E-2,8.276081085E-2
3.827113364E1,-4.016304016E-2,6.283110380E-2,1.083290577E-1
3.827363925E1,-8.221244812E-2,5.550038815E-2,1.299262047E-1
3.827614503E1,-6.040954590E-2,5.326211452E-2,1.242930889E-1
3.827865065E1,-7.114887238E-2,6.798392534E-2,1.055335999E-1
3.828115649E1,-9.561252594E-2,6.699371338E-2,9.523320198E-2
3.828366226E1,-8.162879944E-2,7.155966759E-2,7.102394104E-2
3.828616809E1,-9.582233429E-2,7.612347603E-2,6.593632698E-2
3.828867371E1,-8.904170990E-2,6.910490990E-2,5.504989624E-2
3.829117955E1,-6.516456604E-2,6.827729940E-2,4.057478905E-2
3.829368533E1,-6.224918365E-2,1.085014939E-1,3.346705437E-2
3.829619092E1,-7.732963562E-2,1.694530249E-1,2.643251419E-2
3.829869669E1,-4.846668243E-2,1.511617303E-1,2.608799934E-2
3.830120254E1,1.129913330E-2,1.447153687E-1,2.581000328E-2
3.830370838E1,3.005313873E-2,1.094061136E-1,5.106115341E-2
3.830621399E1,4.156398773E-2,6.067043543E-2,8.093857765E-2
3.830871976E1,4.820156097E-2,-9.267628193E-3,7.456636429E-2
3.831122537E1,5.090808868E-2,-2.306371927E-2,6.978774071E-2
3.831373122E1,5.952262878E-2,-2.114576101E-2,4.656434059E-2
3.831623698E1,7.345962524E-2,-1.911103725E-2,-2.248477936E-2
3.831874283E1,6.635284424E-2,4.546821117E-3,-5.895400047E-2
3.832124844E1,8.323287964E-2,4.026532173E-3,-4.777836800E-2
3.832375421E1,8.816814423E-2,3.951907158E-3,-3.384757042E-2
3.832626006E1,1.071796417E-1,7.747828960E-3,-3.196907043E-2
3.832876568E1,1.137037277E-1,2.110993862E-2,-4.515433311E-2
3.833127145E1,1.206912994E-1,3.285264969E-2,-3.324961662E-2
3.833377729E1,1.062641144E-1,4.396951199E-2,-2.951955795E-2
3.833628292E1,8.221912384E-2,9.325963259E-2,-4.148459435E-2
3.833878876E1,2.870750427E-2,1.482698321E-1,-5.851602554E-2
3.834129453E1,5.779743195E-2,1.074191928E-1,-4.742574692E-2
3.834380015E1,8.812141418E-2,9.604638815E-2,-1.684379578E-2
3.834630602E1,7.088184357E-2,7.544422150E-2,4.649591446E-2
3.834881179E1,8.013343811E-2,5.720227957E-2,3.240013123E-2
3.835131741E1,8.496475220E-2,3.590196371E-2,-8.199214935E-4
3.835382325E1,7.723045349E-2,2.476596832E-2,-4.854893684E-2
3.835632902E1,6.746196747E-2,5.736964941E-2,-9.615731239E-2
3.835883487E1,4.589366913E-2,5.792361498E-2,-8.968615532E-2
3.836134048E1,5.286598206E-2,6.255716085E-2,-6.541323662E-2
3.836384625E1,2.336215973E-2,7.468658686E-2,-8.672976494E-2
3.836635207E1,-4.987716675E-4,9.570413828E-2,-6.220817566E-2
3.836885769E1,1.291275024E-2,1.043745875E-1,-6.344652176E-2
3.837136353E1,1.601123810E-2,1.104946733E-1,-6.510591507E-2
3.837386930E1,2.055644989E-2,1.266581416E-1,-7.828187943E-2
3.837637490E1,2.699279785E-2,1.399570704E-1,-1.032319069E-1
3.837888075E1,-1.718521118E-3,1.466785669E-1,-1.073627472E-1
3.838138652E1,-6.418228149E-3,1.573470235E-1,-1.114318371E-1
3.838389236E1,2.023696899E-2,1.277147532E-1,-1.211276054E-1
3.838639799E1,2.050495148E-2,1.287416220E-1,-1.373915672E-1
3.838890376E1,1.713466644E-2,1.229521632E-1,-1.450002193E-1
3.839140961E1,-1.541137695E-3,1.131123304E-1,-1.559262276E-1
3.839391522E1,5.195617676E-3,1.121991277E-1,-1.515479088E-1
3.839642101E1,1.539421082E-2,1.114062667E-1,-1.416637897E-1
3.839892685E1,1.011943817E-2,9.152084589E-2,-1.493241787E-1
3.840143247E1,2.437400818E-2,8.791524172E-2,-1.463727951E-1
3.840393831E1,1.709175110E-2,8.303385973E-2,-1.351232529E-1
3.840644409E1,2.030944824E-2,7.452243567E-2,-1.025316715E-1
3.840894970E1,2.371120453E-2,4.562121630E-2,-8.255028725E-2
3.841145554E1,2.002143860E-2,5.718195438E-2,-9.396386147E-2
3.841396132E1,1.650047302E-2,5.609887838E-2,-5.704665184E-2
3.841646718E1,2.859115601E-2,3.579527140E-2,-5.675792694E-2
3.841897280E1,3.291320801E-2,2.586191893E-2,-3.408360481E-2
3.842147856E1,3.788948059E-2,1.373302937E-2,-2.888846397E-2
3.842398441E1,4.430103302E-2,1.285707951E-2,-3.235912323E-2
3.842649003E1,5.821514130E-2,1.272720098E-2,-1.531934738E-2
3.842899576E1,6.046867371E-2,-2.100050449E-3,-1.045942307E-3
3.843150161E1,5.352973938E-2,-1.015901566E-2,-8.039712906E-3
3.843400723E1,5.959701538E-2,-1.108855009E-2,1.608514786E-2
3.843651307E1,5.643463135E-2,-1.104718447E-2,3.262472153E-2
3.843901884E1,3.960132599E-2,-8.836567402E-3,3.562593460E-2
3.844152446E1,5.444049835E-2,-1.653164625E-2,5.016851425E-2
3.844403030E1,4.738235474E-2,-2.446812391E-2,3.475522995E-2
3.844653607E1,2.109432220E-2,-3.106415272E-2,4.429459572E-2
3.844904192E1,5.075454712E-3,-4.356890917E-2,6.082439423E-2
3.845154758E1,2.992630005E-3,-4.526811838E-2,4.841876030E-2
3.845405334E1,-2.390956879E-2,-4.886180162E-2,6.123065948E-2
3.845655919E1,-2.209854126E-2,-4.551857710E-2,6.982159615E-2
3.845906481E1,-3.302383423E-2,-7.491040230E-2,7.288336754E-2
3.846157059E1,-4.212188721E-2,-8.137989044E-2,7.448005676E-2
3.846407644E1,-3.786277771E-2,-8.653301001E-2,5.853009224E-2
3.846658206E1,-5.995941162E-2,-7.893162966E-2,6.325411797E-2
3.846908790E1,-6.768989563E-2,-9.331071377E-2,4.665541649E-2
3.847159368E1,-5.632877350E-2,-6.760984659E-2,1.713204384E-2
3.847409930E1,-1.523303986E-2,-6.408989429E-2,2.106666565E-2
3.847660514E1,-1.114463806E-2,-9.217971563E-2,-1.873111725E-2
3.847911092E1,-6.704330444E-3,-6.850820780E-2,-8.269309998E-3
3.848161675E1,-3.146839142E-2,-7.390302420E-2,1.097011566E-2
3.848412236E1,-4.734134674E-2,-6.628340483E-2,-2.171826363E-2
3.848662813E1,-5.921173096E-2,-6.576335430E-2,-5.460262299E-3
3.848913398E1,-8.892536163E-2,-6.630492210E-2,-7.206678391E-3
3.849163959E1,-7.572269440E-2,-5.490809679E-2,-5.909681320E-3
3.849414544E1,-8.750534058E-2,-6.346255541E-2,-3.142309189E-2
3.849665121E1,-7.234001160E-2,-7.995206118E-2,-1.223778725E-2
3.849915682E1,-1.000118256E-1,-7.032054663E-2,-2.069687843E-2
3.850166268E1,-9.683227539E-2,-6.280481815E-2,-1.645398140E-2
3.850416846E1,-8.143043518E-2,-4.748159647E-2,-2.482056618E-2
3.850667407E1,-7.629489899E-2,-5.603337288E-2,-2.444911003E-2
3.850917991E1,-9.081363678E-2,-4.953712225E-2,-2.272820473E-2
3.851168566E1,-1.026086807E-1,-3.723269701E-2,-3.039312363E-2
3.851419150E1,-8.437061310E-2,-2.786529064E-2,-1.476693153E-2
3.851669704E1,-8.621406555E-2,-1.571142673E-2,-2.535581589E-3
3.851920289E1,-7.496166229E-2,-1.251971722E-2,1.978039742E-2
3.852170851E1,-7.790470123E-2,9.513497353E-3,7.925510406E-3
3.852421435E1,-6.857585907E-2,2.963978052E-2,1.624441147E-2
3.852672012E1,-6.171417236E-2,4.929327965E-2,3.030800819E-2
3.852922597E1,-6.240367889E-2,4.835265875E-2,2.176594734E-2
3.853173161E1,-6.090641022E-2,3.743749857E-2,1.749920845E-2
3.853423738E1,-4.593753815E-2,7.085025311E-2,1.347446442E-2
3.853674323E1,-3.008747101E-2,8.223259449E-2,1.047587395E-2
3.853924884E1,-3.748512268E-2,1.137583852E-1,-2.133512497E-2
3.854175468E1,-2.107429504E-2,1.530432105E-1,-2.228474617E-2
3.854426046E1,-1.404666901E-2,1.674409509E-1,-2.713680267E-2
3.854676630E1,-9.630203247E-3,1.872789860E-1,-2.499747276E-2
3.854927192E1,2.256393433E-3,2.310128212E-1,-2.481603622E-2
3.855177770E1,-3.237247467E-2,2.516750097E-1,-1.376819611E-2
3.855428332E1,-2.042293549E-2,2.425201237E-1,-3.536915779E-2
3.855678916E1,1.599311829E-3,1.974390149E-1,-4.011249542E-2
3.855929493E1,6.083488464E-3,1.883066297E-1,-6.873321533E-2
3.856180050E1,6.164550781E-3,1.698384881E-1,-6.628608704E-2
3.856430635E1,-9.284973145E-3,1.676200628E-1,-5.689311028E-2
3.856681212E1,-1.106452942E-2,1.570677161E-1,-7.627916336E-2
3.856931796E1,-9.392738342E-3,1.589716077E-1,-9.051537514E-2
3.857182356E1,-1.817417145E-2,1.552770734E-1,-7.957839966E-2
3.857432932E1,-2.839660645E-2,1.748402119E-1,-7.987785339E-2
3.857683517E1,-5.265426636E-2,1.936408281E-1,-7.108426094E-2
3.857934079E1,-4.265308380E-2,1.970488429E-1,-6.063818932E-2
3.858184655E1,-3.732681274E-2,2.091459036E-1,-9.872364998E-2
3.858435240E1,-5.247974396E-2,2.047494054E-1,-1.005740166E-1
3.858685801E1,-4.535293579E-2,2.049896717E-1,-9.773993492E-2
3.858936386E1,-3.549385071E-2,2.003403306E-1,-9.768867493E-2
3.859186963E1,-3.335380554E-2,1.885280013E-1,-8.879423141E-2
3.859437526E1,-4.746150970E-2,2.059445083E-1,-9.375762939E-2
3.859688110E1,-4.534339905E-2,2.151795030E-1,-8.402013779E-2
3.859938687E1,-4.943847656E-2,2.344079912E-1,-8.396577835E-2
3.860189272E1,-3.337192535E-2,2.302941978E-1,-8.707928658E-2
3.860439833E1,-9.522438049E-3,2.224487662E-1,-1.089475155E-1
3.860690409E1,-9.396553040E-3,2.341257036E-1,-8.226609230E-2
3.860940994E1,2.236461639E-2,2.175859809E-1,-1.015086174E-1
3.861191556E1,-1.157379150E-2,2.320371270E-1,-7.377004623E-2
3.861442130E1,-1.885414124E-3,2.409758270E-1,-9.118199348E-2
3.861692715E1,2.003669739E-3,2.545509934E-1,-6.165695190E-2
3.861943277E1,-5.449295044E-3,2.371990681E-1,-5.548024178E-2
3.862193861E1,9.458541870E-3,2.516623437E-1,-3.424930573E-2
3.862444438E1,-3.203392029E-3,2.266030908E-1,-3.727006912E-2
3.862695000E1,-6.169319153E-3,2.272023261E-1,-5.579090118E-2
3.862945584E1,-1.389312744E-2,2.095294893E-1,-4.796409607E-2
3.863196161E1,-1.905441284E-3,2.262018025E-1,-4.456448555E-2
3.863446746E1,-1.268959045E-2,2.402155399E-1,-5.573010445E-2
3.863697310E1,-2.467823029E-2,2.412574291E-1,-4.545068741E-2
3.863947886E1,-5.133724213E-2,2.340271771E-1,-4.677987099E-2
3.864198471E1,-7.033538818E-2,2.344651818E-1,-4.128265381E-2
3.864449033E1,-6.903171539E-2,2.443644404E-1,-4.286003113E-2
3.864699618E1,-7.806205750E-2,2.429076433E-1,-4.732608795E-3
3.864950195E1,-8.897972107E-2,2.153561711E-1,7.384777069E-3
3.865200756E1,-8.197307587E-2,2.309464812E-1,5.567312241E-3
3.865451341E1,-7.293796539E-2,2.004313767E-1,-1.228570938E-3
3.865701918E1,-7.559013367E-2,1.602206826E-1,-2.673554420E-2
3.865952479E1,-7.848930359E-2,1.572698653E-1,-4.041337967E-2
3.866203064E1,-1.079959869E-1,1.509245336E-1,-3.451228142E-2
3.866453641E1,-1.239385605E-1,1.481836438E-1,-2.916049957E-2
3.866704202E1,-1.198072433E-1,1.354677677E-1,-1.682806015E-2
3.866954786E1,-1.152725220E-1,1.295912862E-1,-1.768660545E-2
3.867205363E1,-1.126203537E-1,1.337017417E-1,-1.839518547E-2
3.867455948E1,-9.871673584E-2,1.448200345E-1,1.464009285E-2
3.867706511E1,-1.178913116E-1,1.154629588E-1,2.109193802E-2
3.867957096E1,-1.009950638E-1,1.148474216E-1,4.311990738E-2
3.868207673E1,-8.729648590E-2,1.125622392E-1,8.543229103E-2
3.868458234E1,-8.040237427E-2,9.702408314E-2,8.514285088E-2
3.868708820E1,-6.363010406E-2,8.452957869E-2,8.689475060E-2
3.868959397E1,-1.572418213E-2,7.778972387E-2,5.858492851E-2
3.869209959E1,5.097389221E-3,9.388500452E-2,3.129673004E-2
3.869460543E1,8.205413818E-3,8.891046047E-2,-1.343917847E-2
3.869711120E1,3.302574158E-3,1.067817211E-1,-3.714346886E-2
3.869961704E1,2.765941620E-2,9.516209364E-2,-5.328392982E-2
3.870212258E1,2.065181732E-2,9.942561388E-2,-4.313540459E-2
3.870462842E1,2.310848236E-2,8.792012930E-2,-4.534697533E-2
3.870713404E1,1.157665253E-2,1.102352738E-1,-3.616929054E-2
3.870963989E1,2.618789673E-3,1.280186176E-1,-3.884887695E-2
3.871214565E1,4.678726196E-3,1.288310289E-1,-6.237816811E-2
3.871465126E1,3.122043610E-2,1.055565476E-1,-6.105852127E-2
3.871715711E1,4.625320435E-2,1.128253341E-1,-5.587792397E-2
3.871966288E1,4.188823700E-2,1.015892029E-1,-4.753351212E-2
3.872216872E1,4.062652588E-3,1.364049613E-1,-6.802463531E-2
3.872467431E1,-2.229595184E-2,1.624440551E-1,-5.446100235E-2
3.872718016E1,-1.172637939E-2,1.644442081E-1,-6.783151627E-2
3.872968593E1,2.527236938E-3,1.730102301E-1,-8.430218697E-2
3.873219177E1,-6.270408630E-3,1.547063589E-1,-9.047365189E-2
3.873469731E1,-2.569675446E-2,1.646710932E-1,-7.188558578E-2
3.873720316E1,-7.053661346E-2,2.132967710E-1,-7.320261002E-2
3.873970877E1,-7.479286194E-2,2.423661649E-1,-6.462335587E-2
3.874221462E1,-6.761264801E-2,2.049486935E-1,-6.196522713E-2
3.874472039E1,-5.179786682E-2,1.695944667E-1,-4.808139801E-2
3.874722600E1,-8.083915710E-2,1.327791810E-1,-1.690173149E-2
3.874973185E1,-1.090593338E-1,1.387270987E-1,2.775740623E-2
3.875223762E1,-1.090488434E-1,1.211288571E-1,1.589608192E-2
3.875474349E1,-1.171693802E-1,1.360304654E-1,-1.512575150E-2
3.875724911E1,-1.290540695E-1,1.403954327E-1,-2.866768837E-2
3.875975488E1,-2.783012390E-2,1.952374279E-1,-7.679247856E-2
3.876226072E1,-4.631137848E-2,2.314017713E-1,-2.021372318E-1
3.876476634E1,-1.481056213E-1,1.822807193E-1,-1.081874371E-1
3.876727218E1,-1.140937805E-1,1.625274718E-1,3.376340866E-2
3.876977796E1,-8.734703064E-2,1.733201742E-1,7.153964043E-2
3.877228357E1,-4.516124725E-2,1.571198106E-1,3.805303574E-2
3.877478942E1,-3.636455536E-2,1.559820175E-1,4.674911499E-2
3.877729520E1,-9.344863892E-2,2.863429189E-1,1.787972450E-2
3.877980081E1,-5.624103546E-2,3.242517114E-1,1.676702499E-2
3.878230666E1,3.616333008E-3,2.637565434E-1,-1.704430580E-2
3.878481243E1,8.055019379E-2,1.480172276E-1,7.615709305E-2
3.878731828E1,1.104526520E-1,2.293038368E-2,1.668741703E-1
3.878982389E1,7.884502411E-2,-3.874993324E-2,1.414651871E-1
3.879232966E1,3.242588043E-2,3.016889095E-3,7.071495056E-2
3.879483552E1,1.525878906E-3,4.411685467E-2,2.766489983E-2
3.879734114E1,-3.574371338E-3,3.211688995E-2,-2.723503113E-2
3.879984691E1,3.242588043E-2,3.406685591E-2,-4.433512688E-2
3.880235275E1,1.623439789E-2,6.411755085E-2,-1.627898216E-2
3.880485836E1,6.304740906E-3,9.016013145E-2,-1.319622993E-2
3.880736421E1,-2.738952637E-3,9.630089998E-2,-6.246805191E-3
3.880986998E1,2.755165100E-3,1.320286393E-1,-1.224660873E-2
3.881237560E1,1.464653015E-2,1.474907398E-1,-7.307291031E-3
3.881488145E1,3.824138641E-2,1.424957216E-1,-5.521059036E-3
3.881738723E1,7.089710236E-2,1.447598934E-1,-2.571368217E-2
3.881989307E1,1.397981644E-1,1.588164866E-1,-4.589128494E-2
3.882239869E1,1.584014893E-1,2.092951536E-1,-1.058802605E-1
3.882490445E1,1.494493484E-1,2.847546339E-1,-1.466152668E-1
3.882741032E1,1.239356995E-1,3.439564109E-1,-1.450433731E-1
3.882991594E1,9.992980957E-2,3.141364157E-1,-1.046762466E-1
3.883242170E1,1.508684158E-1,2.924254239E-1,-9.255719185E-2
3.883492755E1,1.880664825E-1,2.268083394E-1,-5.389261246E-2
3.883743317E1,1.920022964E-1,1.668119431E-1,-5.611944199E-2
3.883993900E1,1.893215179E-1,1.177693605E-1,-6.710338593E-2
